titles,authors,informs,clip_links
빨강머리 앤 에이번리 이야기,루시 모드 몽고메리,"빨강머리 앤의 진짜 이야기가 시작되었다 거의 모든 출판사의 빨강머리 앤을 다 읽었고, 내가 필사를 하기도 했고, 심지어는 한 구절을 낭독해본 적도 있다. 그런데 가장 감명 깊은 읽기를 고르라면, 나는 이번의 이 청독이라고 말하고 싶다. – 책읽는엄마곰, YES24 아무튼 진짜 너무 신선한 충격이었다. 정말 너무 재밌다. 감정이입이 잘 되어서 그런지 앤과 같이 기뻐했다 슬퍼했다 하고 있다. 한 회 한 회 끝날 때마다 벌써 한 회가 끝났나 하는 아쉬움과, 다음 회가 궁금한데 너무 빨리 들어버려 끝나버리면 어쩌나 하는 쓸데없는 고민까지 하게 되었다. – 지식창작사, 알라딘 5번 들었습니다. 빨리 다음 권 발매해 주세요. – 최○○, 카카오메이커스 빨강머리 앤은 오디오북 ≪오디오북 빨강머리 앤 초록지붕 집 이야기≫는 아직 안 들어본 분은 있어도, 한 번만 들은 분은 없는 오디오북입니다. 고아 소녀 앤이 11살에 초록지붕 집에 와서 진정한 가족과 친구를 만나는 ≪초록지붕 집 이야기≫(2018년 11월)에 이어, 앤의 두 번째 이야기가 오디오북으로 출간되었습니다, 역시 앤 셜리! ≪에이번리 이야기≫는 루시 모드 몽고메리가 1909년 발표한 빨강머리 앤 시리즈의 두 번째 작품입니다. ≪초록지붕 집 이야기≫ 마지막에서 앤은 매슈를 떠나보낸 후 대학을 포기하고 에이번리 마을의 마릴라 곁에 남게 됩니다. ≪에이번리 이야기≫는 그 후 2년 동안의 이야기입니다. 앤의 나이는 열일곱 살. 에이번리 학교의 초보 교사로서 어린 학생과 학부모들을 만나면서 사건 사고가 벌어집니다. 길버트, 다이애나, 제인 등 친구들과 에이번리 개선 사업회(혹자는 연애 사업회라고 부르는)라는 모임을 만들어 마을 곳곳을 개선하기 위해 활동하면서 좌충우돌하고요. 마릴라와 함께 여섯 살 쌍둥이 데이비와 도라를 입양하는 큰 변화도 생깁니다. 마치 인기 아침드라마처럼 따뜻하고 재미있는 이웃들과 황당하지만 감동적인 사건들이 매일매일 벌어집니다. ≪에이번리 이야기≫의 하이라이트, 앤과 더 친해지려 경쟁하는 세 남자 등장 길버트는 언제부터 앤을 좋아했을까요? ≪에이번리 이야기≫에서 밝혀집니다. 길버트야말로 원조 순정남이었네요. 에이번리 학교에서 만난 금발의 푸른 눈, 아름다운 남학생 폴 어빙 군은 앤과 영혼의 친구가 됩니다. 입양하여 함께 살게 된 여섯 살 데이비의 장난과 질투는 어찌나 귀여운지! 열일곱 살의 앤은 소녀에서 여인으로 성장하며 더 많은 친구, 다양한 이웃들을 만납니다. ‘가장 듣기 편한 목소리’ 이지혜 낭독 47명의 등장인물을 생생하게 연기하여 몰입감 최고 ≪에이번리 이야기≫는 앤이 사는 마을이 배경입니다. 마을 사람들과 학교에서 만난 학생들, 모임을 함께하며 만나는 친구 등 수많은 사람들이 등장해요. 배우 이지혜는 ≪초록지붕 집 이야기≫에서 25명을 연기해 화제에 올랐는데, ≪에이번리 이야기≫에서는 무려 47명에 달하는 다양한 캐릭터를 혼자 연기해 에이번리 마을 사람들의 모습을 생생하게 머릿속에 그려 줍니다. 인물들이 비슷할 것 같다고요? 한번 직접 들어보시기 바랍니다.",https://audioclip.naver.com/audiobooks/5509E527B3
죽은 왕녀를 위한 파반느,박민규,"[본 오디오북은 '요약본'입니다.] 외모 이데올로기에 대한 야심찬 반격! 우리는 모두 죽은 ‘왕녀’ 곁에 들러리 선 시녀와 마찬가지였다. 더욱 섬세하고 예리해진 무규칙이종소설가의 리얼 로맨틱 귀환! 『삼미 슈퍼스타즈의 마지막 팬클럽』의 계보를 잇는 특별한 감동. 대한민국 마이너리티들의 영원한 히어로 박민규가 돌아왔다. 못생긴 여자와 못생긴 여자를 사랑했던 한 남자의 이야기를 20대 성장소설의 형식으로 그려낸 이 작품은 자본주의 시스템이 본격적으로 가동되기 시작한 80년대 중반의 서울을 배경을 무대로 하고 있다. 정상적인 인간관계를 거부받을 정도로 못생긴 아가씨와 잘생기고 번듯하지만 부모에게 버림받은 트라우마를 공유하고 있는 두 명의 청년은 백화점 아르바이트 현장에서 우연히 만난다. 그리고 이들의 우정과 사랑의 이야기에는 기존의 전복적 세계관이나 키치적 유머 대신에 상처받은 인간의 내면 깊은 곳까지 함께 침잠해 들어간다. 부조리와 편견 가득한 사회의 장벽 앞에서 절망할 수밖에 없었던, 그래서 무참히 사회의 바깥으로 추방당한 첫사랑의 기억을 찾아서 박민규는 80년대의 변두리 골목으로 나선 것이다. 『죽은 왕녀를 위한 파반느』에서 죽은 ‘왕녀’ 곁에 선 ‘시녀’가 상징하는 것은 비단 주인공의 못생긴 연인만이 아니다. 그것은 80년대에 대한 추억 그 자체다. 그것은 록음악이기도 했고, 소설이기도 했으며, 늘 성공을 꿈꾸던 우리네 서민들의 삶 자체이기도 하다. 마돈나, 마이클 잭슨, 할리우드의 온갖 삼류영화들 틈바구니에서 문득 자신들의 비루한 삶에 눈물을 삼키곤 했던, 그래서 예뻐지고 싶고, 부유해지고 싶고, 세련되고 싶었던 지나간 우리의 모습들이다. 자본주의의 꽃인 부와 아름다움을 찬탄하며 우리들의 모습을 바라보며, 인간을 이끌고 구속하는 그 ‘꽃의 힘’에 대해 문제를 제기한다. 부를 거머쥔 극소수의 인간이 그렇지 못한 절대다수에 군림해 왔듯이, 미모를 지닌 극소수의 인간들이 그렇지 못한 절대다수를 사로잡아온 역사, 결국 극소수가 절대다수를 지배하는 시스템 오류에 대한 지적인 것이다.",https://audioclip.naver.com/audiobooks/D623D5AA9B
2019 제10회 젊은작가상 수상작품집,"박상영, 김희선, 백수린, 이주란, 정영수, 김봉곤, 이미상","‘지금-여기’의 한국소설과 만나는 가장 확실한 패스트 트랙의 역할을 해온 ‘젊은작가상’의 2019년 제10회 수상작품집. 박상영 「우럭 한 점 우주의 맛」 아들의 정체성을 부정하는 엄마와 자신의 정체성을 부인하는 애인 사이에서 갈등하면서도 그들을 떠나지는 못하는 ‘나’를 통해, 사랑의 ‘어쩔 수 없음’을 ‘웃음’과 ‘눈물’과 ‘단맛’과 ‘짠맛’을 모두 동원해 속도감 있게 그려 보인다. 김희선 「공의 기원」 개화기 조선의 소년이 우연히 얻은 축구공의 기원을 뛰어난 작가적 상상력으로 재구성하면서, 거대한 역사적 흐름 이면에 방기된 개인의 삶을 날카로운 시선으로 그려낸다. 백수린 「시간의 궤적」 프랑스에서 만난 세 사람 사이에 긴 시간을 두고 그어지는 관계의 궤적을 설득력 있는 문장과 인상적인 장면으로 펼쳐 보인다. 이주란 「넌 쉽게 말했지만」 타인을 의식하지 않고 고향으로 돌아가 자신의 삶을 살아가는 화자의 일상을 담담한 목소리로 그려냄으로써 묘한 공감을 불러일으킨다. 정영수 「우리들」 불륜 커플 사이에 놓인 주인공의 사유를 통해 사랑의 진실과 글쓰기의 지난함에 대해 그려 보인다. 김봉곤 「데이 포 나이트」 소설가가 되어 모교로 돌아간 화자가 위험한 폭력 앞에서도 머뭇거릴 수밖에 없었던 자신의 지난날을 회상하며 한 걸음 더 성장해나가는 이야기를 감각적으로 그려낸다. 이미상 「하긴」 딸의 대입에 투신한 민주화운동 세대 아버지의 모습을 풍자적으로 묘사하면서 입시제도의 모순, 중산층 가정의 도덕적 허위 등을 개성 있는 문체로 드러낸다.",https://audioclip.naver.com/audiobooks/1921F3AE43
프랑켄슈타인,메리 셸리,"인공지능, 유전공학, 인간복제 등의 최근 이슈까지 담아내면서도 진정한 인간다움을 고민하게 하는 독특한 고전 “우리 장르는 200년 전, 메리 셸리라는 19세 천재 소녀의 발명품이다.” 어떤 SF 작가의 고백처럼, 남성의 전유물로 여겨지던 과학을 소재로 한 SF 장르는 놀랍게도 이 책으로부터 출발한다. 『프랑켄슈타인』은 200년이 지난 지금까지도 과학 발전의 명암을 이야기할 때 가장 먼저 언급되는 작품이며, 괴물에 관한 다양한 해석의 여지를 남김으로써 오늘날 인공지능, 유전공학, 복제인간 등의 이슈에서 활발한 토론의 장을 마련하고, 《터미네이터》, 《블레이드 러너》, 《아이, 로봇》 등의 탄생에도 결정적 아이디어를 제공했다. 작가는 산업혁명 당시 큰 관심사였던 갈바니(Luigi Galvani, 1737~1798)의 생체전기 실험을 참고했고, 전기 · 화학 · 해부학 · 생리학 등의 발달과 당시 과학자들의 생명 창조에 관한 고민을 토대로, 자신의 여행 경험을 작품에 녹여냈다. 특히 19세기 작품이라고는 믿기지 않을 만큼 인공생명체를 주제로 최근 논의되는 기본개념, 가령 전기자극, 세포배양, 줄기세포, 체세포 복제 등의 복잡한 과학적 이슈의 원형을 정교하게 배치해 넣었다. 또한, 괴물 이야기를 어떻게 해석하느냐에 따라 다양한 독해가 가능하다. 인간 내부의 무의식이 실체화되어 주인에게 모반을 일으키는 ‘분신’의 관점, 인간의 비극적 성장 과정을 그린 ‘성장소설’ 관점, 폭력과 복수로 범벅이 된 괴물의 삶은 자신이 처했던 ‘사회 상황’의 산물이라는 관점, 남성 중심의 사회에서 가부장적인 욕망이 빚어낸 끔찍한 결과를 소설로 담아낸 것이라는 ‘페미니즘’ 관점 등이 있다. 최근 인공지능의 눈부신 발전으로 “창조자가 이해하지 못하는 엄청난 능력을 지닌 피조물”에 관한 논의가 활발해지고 있다. 오늘날 세계 곳곳에서 연구 중인 여러 ‘프랑켄슈타인 실험’이 결국 인류를 어디로 이끌어갈지 자못 궁금해진다. 21세기에도 여전히 생각거리와 울림을 주는 이 생생한 작품을, 현대지성 클래식에서는 『프랑켄슈타인』과 메리 셸리를 전공한 번역가의 꼼꼼한 번역과 깊은 해제를 담아 선보인다.",https://audioclip.naver.com/audiobooks/F42DF5E909
옥수수 뺑소니 (JBJ 노태현),박상기,"주인공 현성이는 두 번의 교통사고를 연달아 당한다. 그중 두 번째 교통사고에서 부상을 입지만, 정작 뺑소니범으로 몰린 것은 첫 번째 교통사고를 낸 옥수수 트럭 아저씨이다. 현성이가 등 떠밀리듯 시작한 거짓말은 풀 수 없는 매듭처럼 점점 엉켜 가고, 옥수수 아저씨는 고소를 당할 위기에 처한다. 그사이 현성이는 아저씨의 가난하고 딱한 집안 사정을 알게 되는데…… *** 노태현(JBJ)이 낭독하는 박상기 작가의 『옥수수 뺑소니』은 [EBS 아이돌이 읽다, 마음을 잇다] 라는 아이돌의 낭독과 기부가 결합된 프로젝트 참여 작품이다. 이시대 최고의 아이돌이 문학작품 낭독자로 참여해 목소리 재능을 기부하고, 이를 통해 발생되는 수익금 일부는 농어촌청소년육성재단에 기부되어 문화 교육 혜택에서 소외된 청소년들의 올바른 성장 지원을 위해 사용된다.",https://audioclip.naver.com/audiobooks/0B7FBCEBF2
"부활1 (민음사 세계문학, 완독본)",레프 니콜라예비치 톨스토이,"시대를 초월하여 가장 ‘동시대적인’ 작가 톨스토이 19세기 러시아의 불합리한 사회 구조와 종교적 모순을 드러낸 문제작이자 ‘흔들리는 인간’에게서 부활의 가능성을 모색한 만년의 걸작 ▶ 톨스토이의 소설은 단지 예술 작품이 아니라 하나의 생명체다. ―매슈 아널드 ▶ 만약 세계가 스스로 글을 쓸 수 있었다면, 톨스토이처럼 썼을 것이다. ―이사크 바벨 ▶ 톨스토이는 예술가이며 동시에 심리학자다. ―귀스타브 플로베르 ≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡ 러시아를 대표하는 문호 톨스토이의 『부활』 개정판이 민음사 세계문학전집으로 출간되었다.『안나 카레니나』, 『전쟁과 평화』를 통해 젊고 섬세한 감각을 선보이며 러시아 고전의 새로운 독자층을 형성한 번역가 연진희가 번역을 맡았다. 『부활』은 톨스토이가 일흔이 넘어 완성한 만년의 역작으로 고골, 푸쉬킨, 도스토옙스키를 아우르는 19세기 러시아 문학에 대한 오마주이자 『전쟁과 평화』와 『안나 카레니나』와도 맞닿는 인간과 구원에 대한 최종적인 통찰이 담겨 있다. 톨스토이는 19세기 러시아의 불합리한 사회 구조와 종교적인 모순을 지적하면서도, 타인에 대한 사랑으로 흔들리는 인간의 모습에서 정신적인 ‘부활’을 향한 가능성을 발견한다.",https://audioclip.naver.com/audiobooks/CBE2F873FA
동물 농장,조지 오웰,"""인간은 평등하다, 그러나 어떤 인간은 특별히 더 평등하다! 당시 영국의 동맹이던 스탈린을 가차 없이 공격하는 내용 때문에 출판사로부터 출간을 거부당하여 1943년에 써놓고도 출간하지 못할 뻔 하였던 조지 오웰의 소설이다. 동물들이 존스 씨를 몰아내고 스스로 농장을 경영해 나간다는 간명하고도 비극적인 우화는 세계적인 고전으로 평가받고 있다. 1917년의 러시아 혁명과 2차 세계대전을 조지 오웰의 시각으로 재구성한 정치 풍자 소설이다. 실제로 『동물농장』은 등장인물들을 스탈린, 레닌, 트로츠키, 히틀러, 루스벨트 등 20세기 전반에 국제 질서를 좌지우지했던 거물급 실존 정치인들과 짝지어 보는 퀴즈 게임을 해도 좋을 만큼 절묘하고 풍자적인 묘사로 가득하여 독자들에게 또 다른 시사적 재미를 준다. 영국의 한 농장에서 인간으로부터 억압받고 착취당하던 동물들은 유토피아 건설을 꿈꾸며 혁명을 일으킨다. 동물들은 소원대로 인간을 내쫓고 자유를 쟁취하고 계급 없는 사회를 만든다. 그러나 점차 돼지들이 지배층으로 부각되고, 돼지들 사이에 권력 투쟁이 일어나며, 승리한 돼지들은 옷을 입고 침대에서 자고 두 다리로 걷고 술을 마신다. 자신들을 억압하고 착취하던 인간들을 닮아가는 동물들…….""",https://audioclip.naver.com/audiobooks/D56A46DD55
홍염의 성좌,아울,"[본 오디오북은 '요약본'입니다.] 붉은 나비의 왕. 까마귀 왕자. 그리고 고양이 여왕. 오페라를 이끌어갈 주역은 모두 모였다. 2백 년 동안 봉인되어 있던 파멸의 그랜드 오페라가 막을 열기 시작한다. 사랑하는 여인과의 약혼식 날, 이유도 모른 체 끌려가 8년간 지하감옥에 갇힌 에드먼드 란셀. 그의 처절한 복수극이 시작된다. 지하 감옥의 젊은 죄수 에드먼드. 죄수의 어린 아들 유릭 크로반. 타락한 추기경과 사악한 독재자, 나비의 봉인과 녹슨 십자가의 기사, 슬픈 왕국의 보물과 오만한 제국의 성물. 기적, 탈출, 귀환, 그리고 심장 없는 자의 복수. 신세대적 기발함과 경쾌한 대사, 풍부한 상상력이 빚어낸 판타지의 명품!",https://audioclip.naver.com/audiobooks/A470F368D0
<일곱 해의 마지막> 완전판 오디오북 (김연수 작가 낭독),김연수,"김연수 작가 『파도가 바다의 일이라면』 이후 8년 만의 신작 장편소설! 네이버 오디오클립 [듣는 연재 소설]로 먼저 만났던 『일곱 해의 마지막』을 완전판 오디오북으로 만나보세요. 김연수 작가 생활 삼심년의 완숙함과 아름다운 문장으로, 시인 백석의 잘 알려지지 않았던 삶의 행보를 차곡차곡 복원해가는 『일곱 해의 마지막』. “기행을 매혹시킨 불행이란 흥성하고 눈부셨던 시절, 그가 사랑했던 모든 것들의 결과물이었다. 다시 시를 써야겠다고 마음먹은 것도 그 때문이었다. 사랑을 증명할 수만 있다면 불행해지는 것쯤이야 두렵지 않아서.” 김연수 작가의 낭독으로 시인 백석의 삶과 만나보세요! 듣는 연재에 공개되지 않았던 챕터까지 모두 공개됩니다.",https://audioclip.naver.com/audiobooks/8E5A3839FB
