titles,authors,informs,clip_links
선한 이웃,이정명,"선보이는 작품마다 마니아를 양산하며 대중을 끊임없이 매료시켜왔던 작가 이정명 장편소설. 1980년대를 배경으로 정보기관 공작원과 권력의 타깃이 된 연극 연출가 간의 대립을 담은 <선한 이웃>은 생존을 위해 악에 부역할 수밖에 없었던 이 사회의 주변인들이 겪는 고뇌, 갈등 그리고 최후의 선택을 그린 작품이다. 전작들에서 조선 시대와 일제강점기를 배경으로 역사와 허구의 결속을 흥미롭게 이끌어냈던 작가는 이번 작품에서 직접 겪은 80년대의 한국 현대사를 바탕으로 한층 진화한 서사, 보다 깊이 있고 묵직해진 메시지를 선보인다. 1984년 서울대 프락치 사건을 모티프로 운동권의 실세로 지목된 미지의 인물과 그를 쫓는 공작원, 젊은 연극 연출가와 그의 연인 그리고 모든 공작의 배후에 서 있는 관리자 등 다섯 명의 시점으로 격동의 시대를 돌아본다. 작가는 각각의 등장인물들을 차분하게 조명하면서 혼돈과 절망의 구렁텅이로 개개인을 몰아가는 국가권력에 주목한다. 또한 그 이면에서 '정의'와 '선'이 도구적 가치로 활용되며 굴절되어가는 과정들을 생생하게 조명해낸다. 특히 작품 말미에 등장하는 충격적 반전은 우리에게 이 이야기가 과거에 묶인 것이라기보다 현재에서도 충분히 적용될 만하다는 점에서 작품의 메시지를 더욱 또렷하게 각인시킨다.",https://audioclip.naver.com/audiobooks/584CA26677
오만과 편견,제인 오스틴,"영국인이 가장 사랑한 여성작가 제인 오스틴. 1813년, 그녀가 집필한 <오만과 편견>은 17세기의 사회적 통념을 개성적인 캐릭터를 통해 전복시키면서 결혼의 조건이 돈과 계급만이 아닌 사랑일 수 있다는 여성들의 로망을 충족시켜 주었다. 또한 현실적인 압박에 굴하지 않고 자신의 존엄성을 끝까지 지켰던 여주인공 엘리자베스는 미래를 위해 결혼해야만 했던 당대 여성들에게 커다란 해방감을 선사했다. 나아가 당대 영국이 고질적으로 앓고 있었던 물질주의와 허의 의식을 유쾌하고도 밀도 있게 풍자한다.",https://audioclip.naver.com/audiobooks/4AD9647C5D
초등탐정 강이치 의뢰인,이설하,"네이버 오디오클립 레몽 인기작품, 어린이 추리 동화, 초등탐정 강이치의 6번째 시리즈! 초등탐정 강이치는 네이버 오디오클립 <레몽> 채널을 통해 공개된 어린이 추리 동화. 유치원생부터 초등학생까지 다양한 팬 층을 보유한 탐정 스토리로 1,000만 이상의 조회수를 기록한 인기 동화다. ◆ 프롤로그 안녕. 캐롤이야. 드디어 6번째 시리즈가 나왔어. 5학년이 된 주인님에게 첫 의뢰인이 생긴 셈이지. 주인님은 기분 좋게 사건을 맡았어. 그렇게 해결이 되나 했지. 하지만 아니었어. 마치 빙산의 일각처럼 거대한 이야기가 숨겨져 있었거든. 분명 하나의 사건인데 그 사건이 끝나질 않아. 게다가 의뢰인은 계속 나왔어. 그러면서 점점 엉켜갔지. 과연 이 사건을 어떻게 해결해야 할까? 복잡하게 꼬인 실뭉치를 풀었을 땐 무엇이 나올까? 이번 이야기도 기대해 줘!",https://audioclip.naver.com/audiobooks/91DFED482C
고양이 2 : 베르나르 베르베르 장편소설,베르나르 베르베르,"베르베르가 이번에는 고양이의 눈으로 인간의 미래를 바라본다 '한국인이 사랑하는 세계 작가' 1위, 베르나르 베르베르의 신작 장편소설 『고양이』가 오디오북으로 태어났다. 『고양이』는 제목 그대로 주인공인 고양이의 시각에서 인간의 문명을 바라보는 작품이다. 파리에서 살고 있는 암고양이 바스테트. 그녀는 ‘집사’가 틀어 놓은 TV 화면과 점점 잦아지는 골목길의 총성을 통해 그동안 당연시하던 안락한 일상이 조금씩 무너지고 있음을 감지하게 된다. 이 무렵 바스테트는 옆집에 이사 온, 어떤 이유에선지 인간 세계에 대해 ‘너무 많이 아는’ 고양이 피타고라스와 친구가 되는데……. 인간이 상상하기 어려운 타자의 시각을 도입하여, 인간 중심주의를 해체하고 이 지구에서 인간이 차지해야 할 적절한 위치를 끊임없이 고민해 온 베르베르의 작업은 이미 첫 번째 작품인 『개미』에서부터 시작된 것이지만, 이번 『고양이』에서는 그 문제의식이 그동안 좀 더 성숙해지고 발전해 왔음을 알게 된다. 베르베르가 보기에, 이 지구상의 생물종들과의 대화는 필요하다. 단지 인간의 어떤 흥밋거리나 지식의 확장을 위해서가 아니라, 인간이 전쟁과 테러 등 자기 파괴적인 경로에서 벗어날 수 있는 해답이 여기에 있기 때문이다. 무거운 주제를 경쾌하게 다룰 줄 알고, 과학과 철학, 그리고 역사의 에피소드들을 유머러스하게 버무리는 베르베르의 솜씨는 여전하다. 원제는 ‘Demain les chats’. [내일은 고양이]라는 뜻이다. 미래는 고양이에게 있다는 뜻으로 읽힌다. 다른 한편으로는, 작가 자신이 이제까지는 <개미의 작가>로 기억되었다면 앞으로는 [고양이]가 자신의 트레이드마크가 되기를 바란다는 유머러스한 표현일 수도 있다. 실제로 프랑스 언론에서는 그런 뜻으로 받아들이기도 했다. *** 이 오디오북은 한국출판문화산업진흥원(KPIPA)의 「2021년 오디오북 제작 지원」 사업 선정작입니다.",https://audioclip.naver.com/audiobooks/2D31944FFE
"올리버 트위스트 1 (민음사 세계문학, 완독본)",찰스 디킨스,"셰익스피어와 함께 영국을 대표하는 작가, 찰스 디킨스 빈자와 노동자의 편에서 사회의 부조리를 꼬집는 풍자 소설의 고전이자 삶의 역경 속에서도 선한 의지를 믿는 어른들을 위한 동화” ▶ 그는 가난하고 고통받고 박해받는 자들의 지지자였으며 그의 죽음으로 세상은 영국의 가장 훌륭한 작가 중 하나를 잃었다. ―찰스 디킨스 묘비명 ≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡ 셰익스피어와 함께 영국을 대표하는 작가 찰스 디킨스의 『올리버 트위스트』가 세계문학전집 351권, 352권으로 출간되었다. 소년 올리버의 인생 역정을 통해 영국 사회의 부조리를 날카롭게 풍자하는 동시에 삶에 대한 충만한 희망을 이야기하는 이 소설은 이십 대의 디킨스를 일약 스타의 반열에 올려놓았다. 어린 나이에 직접 겪은 빈곤과 열악한 노동 환경에 대한 인식, 그리고 기자로 일하며 삶의 현장을 누볐던 독특한 경력을 통해 디킨스는 산업혁명의 그림자가 드리운 19세기 런던의 뒷골목을 생생하게 재현한다.",https://audioclip.naver.com/audiobooks/21E6369177
멀리서 보면 푸른 봄,지늉,"""인생은 멀리서 보면 희극이고, 가까이서 보면 비극이다"" 인생의 '푸른 봄'이라고 하는 이십대, 그러나 정작 이십대는 누구도 스스로를 청춘이라 말하지 않는다. 대한민국의 대학진학률 평균 80%. 수많은 젊음이 소비되고 있는 캠퍼스, 그 안에선 무슨 일이 일어나고 있을까? 꿈을 가지라는데, 열정을 가지라는데, 인생을 주체적으로 살라는데. 그렇다면 묻고 싶다. 그런 이상대로 살지 못하는 이들은 모두 한심한 인생들이란 말인가? 그저 세상이 던져놓은 대로 충실히 달려갈 뿐인 이들에게 한심하다 말하는 세상이 뻔뻔한 것은 아닌지… 이제는 아프게 말을 걸어볼 때다. 왜 이십대가 스스로를 '청춘'이라 부르지 못하는지. 그들이 어쩌다가 '청춘'의 달콤함 대신에 '잉여' '88만원' '3포' 따위로 자조하게 되었는지. 가슴 터지게 고민하고 있을 우리 이십대에게 아무도 한 사람의 인생을 바꿀 만큼 천재적인 답을 던져줄 수 없다면, 절망은 절망대로 공감하며, 그 안에서 찾은 진짜 희망을 공유하고 싶다. 그리하여 '멀리서 보면 청춘'일지도 모를 이들이 그들의 평범한 인생을 사랑할 수 있도록 말이다.",https://audioclip.naver.com/audiobooks/617A264815
한자와 나오키 2,이케이도 준,"■ 전설의 일드 「한자와 나오키」 원작 소설 ■ 하루키, 히가시노에 버금가는 일본 최고의 스토리텔러 이케이도 준의 대표작 ■ 570만 부 판매 메가히트 베스트셀러 시리즈, 그 두 번째 이야기! ""무능한 조직은 한 인생에 대한 모독이다!"" 모든 ‘일하는 사람들’에게 보내는 응원과 격려의 소설! 일본 최고의 스토리텔러 이케이도 준, 그가 창조한 '은행원-탐정' 캐릭터 한자와 나오키는 일본에서 신드롬을 일으켰다. 조직의 정치싸움에 휘말리는 가운데에서도 부정한 상대는 철저하게 굴복시키며 무능한 조직과 사회에 제대로 된 '한 방'을 날리는 한자와의 모습에 열광했기 때문이었다. 『한자와 나오키 : 2』 역시 1권과 마찬가지로 거대한 내부 비리를 파헤쳐나가는 한자와 나오키의 스릴 넘치고 통쾌한 미스터리 활극 안에서 조직 논리에 안주해 직업 윤리를 잃어버린 개인들에 대한 문제의식을 짚어낸다. 적들의 반격에도 마지막까지 자신의 자존심을 지켜내며, 끝내 복수에 성공하는 한자와의 모습을 따라가는 것만으로도 마음속의 울분과 응어리가 시원하게 해소될 것이다. 『한자와 나오키 2 : 복수는 버티는 자의 것이다』 줄거리 도쿄중앙은행 도쿄 본부 영업 2부 차장으로 승진한 한자와 나오키. 도쿄 본부는 산업중앙은행과 도쿄제일은행이 합병된 여파로 은행 내 화합이 가장 큰 화두다. 하지만 물밑에서는 각 라인이 행내 입지를 세우기 위한 치열한 파벌 싸움이 한창이다. 한자와는 부실 채권으로 분류될 위기에 처해 있는 이세시마호텔 재건 전략을 세우면서, 이 건이 도쿄제일은행파인 교바시 지점이 깊숙이 개입되어 있는 대규모 부정과 연결되어 있음을 알게 된다. 엎친 데 덮친 격으로 금융청의 감사가 시작되고, 한자와는 이에 맞서기 위해 또다시 고군분투한다. 한편 한자와의 입행 동기 곤도는 은행 거래처인 다미야전기에 파견을 나간다. 은행 직원이 아닌 파견 회사의 직원으로 새롭게 시작해보려고 하지만, 사장과 직원들의 따돌림으로 움츠러든다. 그러나 한자와와 함께 교바시 지점의 갑질에 대응하면서 점차 자신감을 갖고, 진심을 다해 다미야전기의 경영계획을 세우는 과정에서 은행원으로서의 긍지를 되찾기 시작한다. 그러나 다미야전기가 숨기고 있는 비밀에 다가가면서, 그 끝에 한자와의 일과 접점이 있다는 사실을 알게 되고 자신과 가족을 위한 선택과 직업 윤리 사이에서 크게 갈등한다.",https://audioclip.naver.com/audiobooks/9E242EE6BE
"여자의 일생 (민음사 세계문학, 완독본)",기 드 모파상,"발자크, 플로베르와 더불어 19세기 프랑스 문학을 주도한 모파상의 대표 장편 소설. 꿈 많던 한 지방 귀족 여인이 겪는 인생의 명암을 적나라하게 묘파해 낸 수작. ▶ 『레 미제라블』 이후 최고의 프랑스 소설. - 레프 톨스토이 ▶ 모파상은 간결한 문체 이면에 휴머니티를 간직한 작가다. - ⟪타임스 리터러리 서플리먼트⟫",https://audioclip.naver.com/audiobooks/E66241D23A
그들만 모르는 비밀,이승연,"첫눈에 반하는 사랑을 믿으세요? 서로에게 콩깍지 씌워져 있는 두사람만 모르는 비밀, 사채업자 부모 덕분에, 어둠의 세계에 종사하는 인간은 질색인 수연이의 목표는 '착실하고 세금 잘 내는 남자 만나 결혼하기' 서류가방이 잘 어울리는 건실해보이는 남자, 기찬과 예기치 못한 만남이 거듭될수록 수연이의 마음 속에는 살랑살랑 봄바람이 불기 시작한다. ""그래, 내가 찾던 왕자님은 바로 이 남자야!"" 슬슬 사랑이란 놈에 빠져 볼까 하는 순간, 이제야 알게 된 그의 진짜 직업이 사채업자라구? 본업은 나이트 사장, 심심풀이 삼아 사채업으로 남는돈을 굴리고 있는 규기찬씨. 어둠의 자식들을 직원으로 데리고 있으면서 굳어진 딱딱하고 차가운 말투의 아저씨가 어리버리하지만 생활력 강한 그녀를 만나면서 봄바람에 눈 녹듯 다정해진다. ""그래, 요 깜찍한 아가씨와 연애 좀 해볼까?"" 이제는 놓칠 수 없을만큼 수연이에게 빠져버린 순간, 뭐? 내 직업때문에 헤어지겠다구? 동상이몽, 그남자 그여자의 좌충우돌 연애사.",https://audioclip.naver.com/audiobooks/D291A36E80
셰익스피어 4대 비극 《오셀로》,윌리엄 셰익스피어,"""너무 늦었어."" 목숨을 구하는 데스데모나에게 오셀로는 그렇게 말했다. 순간, 운명은 다리를 건넜고 신은 그에게 속삭였다. '너도 너무 늦었어.' 《오셀로》는 셰익스피어의 4대 비극 가운데 가장 극적이면서 가장 보통 사람의 공감을 일으킬 수 있는 작품이다. '눈부시게 아름다운 여성과 강인한 정신력을 지닌 장군, 그리고 그 사이를 뱀처럼 파고드는 한 인간의 갈등'이 절묘한 셰익스피어의 대사를 통해 드러난다. '질투'의 화신 오셀로 역은 오만석 배우가 맡았는데, 사랑에 빠져 상처받은 감성을 처절하고 극적으로 그리고 있다. 특히 '동기 없는 악의를 품고 동기를 찾아 다니는' 이아고라는 인물은 후대의 여러 작품에 지대한 영향을 미친 악당 캐릭터가 되었다. 이아고의 부추김에 오셀로는 질투심으로 거의 미쳐버린다. 이아고라는 악당의 존재와 오셀로의 고귀함은, 오셀로가 돌이킬 수 없는 실수를 저지름에도 관객들에게 강렬한 연민을 불러일으킨다. 과연 오셀로가 바보라서 그런 선택을 한 것일까? 우리가 오셀로의 선택을 통해 깨달아야 하는 것은 무엇일까?",https://audioclip.naver.com/audiobooks/2EEDA799EE
