titles,authors,informs,clip_links
"페스트 (민음사 세계문학, 완독본)",알베르 카뮈,"위험이 도사리는 폐쇄된 도시, 극한의 절망과 마주하는 다양한 인간 군상 20세기의 지성이자 실존주의 문학의 대표 작가 알베르 카뮈 페스트라는 비극의 소용돌이 속에서도 현실을 직시하며 의연히 운명과 대결하는 인간의 모습을 다룬 걸작. 카뮈는 이 작품에서 공포와 죽음, 이별의 아픔 등 인간이 경험하게 되는 극한의 고통과 절망을 그려낸다. 그는 이처럼 빠져나갈 길 없는 재앙을 온몸으로 견뎌내야만 하는 비극적 상황을 현실적으로 묘사하면서도 그 속에 결코 꺾이지 않는 희망의 의지를 담아내, 2차 세계 대전을 겪으며 정서적 공황 상태에 빠져 있던 다수의 사람들에게서 큰 공감을 얻어냈다.",https://audioclip.naver.com/audiobooks/E21D2B61C6
오 헨리 단편선 (배우 정해인 낭독),오 헨리,"미국 단편 소설의 한 계보를 차지한 오 헨리의 독특한 작품 세계 미국 단편 소설의 역사를 논하면서 오 헨리의 존재를 간과한다는 것은 불가능에 가까운 일일 것이다. F. 스콧 피츠제럴드나 윌리엄 포크너, 어니스트 헤밍웨이와 같은 후대 작가들의 단편 소설 곳곳에서 오 헨리의 영향이 눈에 띈다. 1890년대 후반부터 본격적인 작품 활동을 시작한 오 헨리는 작품들 속에서 자신의 실제 작품 활동 기간인 19세기 후반과 20세기 초반 미국인의 삶, 그것도 도시에서의 삶을 주로 다뤘다. 그가 작가로서 집중적으로 활동한 무대였던 뉴욕은 근대 자본주의에서 비롯된 소수가 누리는 풍요와 다수가 겪는 빈곤이라는 양면성을 모두 확인할 수 있는 곳이었다. 그리고 뉴욕을 배경으로 한 작품들 속에 그가 담아낸 등장인물들은 대부분 근대 자본주의를 배경으로 한 소시민 사회의 구성원인 가난하거나 힘없는 사람들이었다. 오 헨리식 작품의 가장 큰 특징은 갑작스러운 반전을 거쳐 예기치 못했던 대단원에 이르는 플롯 구성 방식에 있다. 등장인물의 미묘한 심리 상태나 감정보다는 극적인 사건에 좀 더 집중하며 이야기를 전개한다는 점에 있어서는 모파상 단편 소설의 전통을 잇고 있다고 볼 수 있다. 우연히 일어난 운 좋은 사건인 듯 보였던 일이 사실은 등장인물 중 한 사람이 꾸며낸 일이었음이 밝혀진다거나(「황금의 신과 사랑의 신」), 교도소에 가기 위해 온갖 노력을 다하다가 마침내 열심히 살아 보려고 마음을 고쳐먹는 순간 체포되어 수감된다거나(「경찰과 찬송가」), 납치범이 오히려 납치된 소년을 집으로 돌려보내기 위해 돈을 지불하게 된다는(「붉은 추장의 몸값」) 식의 반전을 통해 뜻밖의 결말에 이르게 되는 오 헨리의 플롯 구성 방식은 그 당시 독자들에게 상당히 기발하고 재치 있게 여겨져 인기를 끌었다. 시대를 생생히 반영한 언어로 이루어 낸 독특한 문체 단편소설 작가로서 오 헨리의 명성에 크게 기여한 또 다른 요소는 그의 언어 구사력이다. 지금도 전시되어 있는 오 헨리의 스케치들에서 드러나듯 그는 인물들의 특징을 순간적으로 포착해 생동감 있게 표현해 내는 데 뛰어난 재주를 가지고 있었는데, 이는 비단 그림뿐 아니라 글쓰기에서도 마찬가지였다. 또 그의 언어 속에는 그가 오랜 기간 거주했던 남부의 노스캐롤라이나나 텍사스, 뉴욕 지역의 말투뿐 아니라 심지어 고작 몇 주밖에 머무르지 않았던 뉴올리언스 크리올의 독특한 말투와 쇼걸, 과거의 흑인 노예, 타이피스트, 여점원, 변호사와 같은 특정 계층이나 직업군이 사용하는 속어나 은어, 전문 용어까지도 포함되어 있다. 그의 작품 속 등장인물들이 더욱 생동감 있고 현실적이게 그려진 것은 이처럼 엄청난 어휘 구사 능력이 작가 특유의 간결한 문체와 결합된 덕분이라고 할 수 있다. 인간에 대한 애정이 가득 담긴 휴머니즘 드라마 오 헨리의 단편들이 시공을 초월해 인기를 끌고 있는 데 무엇보다도 중요한 것은 그의 작품에서 배어나는 인간에 대한 애정 그리고 그의 유머와 페이소스가 지닌 보편성이다. 20세기 초 미국의 독자와 21세기 초 우리나라의 독자들이 오 헨리의 작품을 이해하는 방식이 전적으로 동일할 수는 없을지는 모른다. 어차피 오 헨리가 그려 낸 소시민적인 익숙한 일상 속에 숨겨진 낯선 아름다움을 발견해 내는 것은 결국 독자 개개인의 몫이니 말이다. 그러나 그의 작품 전반에 깔린 인간에 대한 따뜻한 시선이 변치 않고 남아 있는 한 그의 작품은 시공을 초월해 독자들의 공감을 이끌어내며 그들의 고단한 하루를 위로할 것이다.",https://audioclip.naver.com/audiobooks/78401BECDF
"날개 (RESOUND 단편, 김태리 낭독)",이상,"「날개」는 1936년 9월 『조광』에 발표한 이상(1910~1937)의 단편소설입니다. 시인이자 건축가로 알려진 이상이지만, 그가 쓴 소설들도 시 못지않게 문학적 천재성을 드러내며 오늘날까지도 한국문학의 중요한 유산으로 남게 되었습니다. 그중에서도 「날개」는 이상의 대표작이자 훗날 문학뿐만 아니라 미술, 음악, 영화, 디자인 등 수많은 예술가에게 영감을 주고 재해석을 이끌어낸, 이상 문학의 상징적인 작품이기도 합니다. 주인공으로 등장하는 ‘나’는 지식인이지만 병약한 몸으로 아내가 일하는 유곽에서 빌붙어 살며 현실을 무감하게 바라보는 인물입니다. 그러나 이 작품의 가장 큰 특징은 ‘사건’이나 ‘서사’와 같은 단선적인 소설 독법으로는 작품의 전모를 이해할 수 없다는 것입니다. 즉 입구와 출구가 따로 마련되지 않은 소설이라 할 수 있습니다. 읽는 이에 따라 저마다 여러 입구와 여러 출구를 발견할 수도 있으며, 입구는 찾았으나 출구는 없는 소설로도 읽힐 수 있습니다. 마치 어둠 속에서 혼잣말하듯이, 혹은 꿈과 현실의 경계에서 어느 쪽도 확신할 수 없는 잠에 빠진 듯이, 한 실존이 처한 상황만이, 지독하고 유머러스하게 그려지고 있을 뿐입니다. 역설적 상황을 심미적 묘사로 이끌면서 근대적 개인의 분열상을 오롯이 보여주는 작가의 기법이, 섬뜩하면서도 아름다운 작품입니다. 100년 전 우리 소설, 아름다운 소리로 만나다 ‘Resound 단편’ 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. ‘Resound 단편’ 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져, 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 ‘Resound 단편’ 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/A9D5AAB00F
어린 왕자 (GOT7 진영 낭독),생텍쥐페리,"GOT7 진영의 목소리로 만나는 특별한 『어린 왕자』 ! “사막이 아름다운 것은 그것이 어딘가에 우물을 감추고 있기 때문이야.” 어린 왕자가 들려주는 보이지 않는 삶의 비밀 이야기. 세대가 바뀌어도 새로운 감동을 주는 영원한 명작. 사하라 사막을 횡단하던 ‘나’는 비행기 사고로 혼자 사막에 떨어진다. 보이는 것은 모래와 하늘뿐인 사막 한가운데에서 ‘나’는 지쳐 잠이 든다. 그런데 해 뜰 무렵, 이상한 작은 목소리가 들려온다. “양 한 마리만 좀 그려 줘!” 이렇게 해서 ‘나’는 별을 떠나온 어린 왕자의 신비한 이야기를 듣게 된다.",https://audioclip.naver.com/audiobooks/7168A27FA4
노르웨이의 숲,무라카미 하루키,"『노르웨이의 숲』은 1960년대 말 고도성장기 일본을 배경으로, 개인과 사회 사이의 금방이라도 무너질 듯한 관계와 손을 뻗으면 잡을 수 있을 것처럼 생생한 청춘의 순간을 그려 낸 소설이다. 이 작품은 36개국 이상의 국가에서 번역 소개되는 등 세계적인 ‘하루키 붐’을 일으키며 무라카미 하루키의 문학적 성과를 널리 알렸다. 고독한 도시 한가운데에서 살아가는 청춘의 아픔과 사랑의 순간을 강렬하게 그려 낸 시대의 소설. 유려하고 감각적인 번역으로 만나는 무라카미 하루키 문학의 진수는 첫 만남을 추억하는 독자에게도, 새로운 만남을 기다리는 독자에게도 잊지 못할 기억을 선사할 것이다. NORUUEI NO MORI by Haruki Murakami Copyright ⓒ 1987 Haruki Murakami All rights reserved. Originally published in Japan by KODANSHA LTD., Tokyo. Korean Translation Copyright ⓒ Minumsa 2019 Korean audiobook rights arranged with Haruki Murakami, Japan through THE SAKAI AGENCY. 이 오디오북의 한국어 판 저작권은 THE SAKAI AGENCY를 통해 Haruki Murakami와 독점 계약한 ㈜민음사에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다. *이제훈 스페셜 낭독 콘텐츠는 제공기간이 만료되었습니다. 본 『노르웨이의 숲』 오디오북에는 이제훈 스페셜 낭독이 포함되어 있지 않습니다.",https://audioclip.naver.com/audiobooks/85B3DE5DD1
오버 더 초이스,이영도,"<드래곤 라자>, <눈물을 마시는 새> 등 한국, 일본, 대만, 중국에서 200만 부 이상의 판매고를 올린 대표적인 판타지 작가 이영도의 10년 만의 신작 장편소설을 장민혁, 남도형, 시영준 등 11인의 화려한 성우진이 연기한 오디오북. <오버 더 초이스>의 시작은 소도시의 보안관보인 주인공 '티르 스트라이크'의 술회로 시작된다. '서니 포인도트'라는 6살짜리 아이가 놀던 중 폐광의 환기공에 빠지는 사건이 발생하였고, 모든 어른들이 각고의 노력을 기울였음에도 결국 보름만에 싸늘한 아이의 시신을 마주하게 된다. 딸의 죽음을 받아들일 수 없던 아버지가 부린 작은 소동으로 인해 근방에서 발생한 팔두 마차의 사고 현장을 발견하게 되고, 그곳에서 유일한 생존자인 소년을 발견한다. - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/7ACCEF6F0E
오리엔트 특급 살인,애거서 크리스티,"애거서 크리스티의 대표작이자 할리우드 화제의 영화 『오리엔트 특급 살인』을 오디오북으로 듣는다! 애거서 크리스티가 창조한 명탐정 푸아로, 그를 대표하는 최고의 소설! 『오리엔트 특급 살인』은 애거서 크리스티의 대표작으로 언제나 손꼽히는 작품으로, 《가디언》에서 선정한 애거서 크리스티 베스트 10 목록에도 이름을 올렸다. 전 세계적으로 가장 많이 팔리는 애거서 크리스티 작품을 선정했을 때는 『그리고 아무도 없었다』에 이어서 2위를 차지했다. ※ 8번 트랙 NG 부분 음원 수정 후 교체 완료되었습니다. (22.11.28) ※ 성우별 배역 정보가 추가되었습니다. (22.12.02) “미스터리 애독자들이 바라는 모든 것.” - 《뉴욕 타임스》 “거의 완벽에 가깝다.” - 《가디언》 ★애거서 크리스티 드라마형 오디오북 베스트 12종 모아 듣기★ 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 __ MURDER ON THE ORIENT EXPRESS Copyright © 1934 Agatha Christie Limited. All rights reserved. AGATHA CHRISTIE, MURDER ON THE ORIENT EXPRESS, POIROT and the Agatha Christie Signature are registered trade marks of Agatha Christie Limited in the UK and elsewhere. All rights reserved. Korean Translation Copyright © Minumin 2018 Korean audiobook edition is published by arrangement with Agatha Christie Limited through Shinwon Agency. 이 오디오북의 한국어판 저작권은 신원 에이전시를 통해 Agatha Christie Limited와 독점 계약한 ㈜민음인에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다.",https://audioclip.naver.com/audiobooks/7F49B14178
"인간 실격 (민음사 세계문학, 완독본)",다자이 오사무,"1948년 서른아홉의 나이로 요절하여 일본 사회에 큰 파장을 남긴 일본 현대 문학의 대표적 작가 다자이 오사무의 『인간 실격』. 오직 순수함만을 갈망하던 여린 심성의 한 젊은이가 인간들의 위선과 잔인함에 의해 파멸되어 가는 과정을 그린 「인간 실격」은 “인간의 나약함을 드러내는 데 있어 다자이보다 뛰어난 작가는 드물다.”(《뉴욕 타임스》)라는 평가를 받으며 전후 일본 젊은이들의 열렬한 지지를 받았다. 너무나 순수했기에 파멸할 수밖에 없었던 한 젊은이의 초상 「인간 실격」은 ‘나’라는 화자가 서술하는 서문과 후기, 그리고 이 작품의 주인공 요조가 쓴 세 개의 수기로 구성되어 있다. 서문에는 요조의 사진 세 장이 등장하는데, “쭈그리고 앉아 화로에 양손을 쪼이다가 그냥 그대로 죽어간 것 같은” 사진 속 인물의 음산함이 작품의 전체적 분위기를 설정해 주고 있다. 태어날 때부터 다른 “인간들”을 이해할 수 없었던 요조는 그 인간 세계에 스스로 동화되기 위해 “익살꾼”을 자처해 가며 노력하지만 번번이 좌절하고, 결국 마약에 중독되고 자살을 기도하기에 이른다. 그러나 거듭된 동반 자살 기도에서 여자만 죽고 혼자 살아남은 요조는 마지막 희망이었던 본가로부터도 절연을 당하고 외딴 시골집에서 쓸쓸히 죽음만을 기다리는 “인간 실격자”가 되고 만다. 인간 사회의 위선과 잔혹성을 한 개인을 통해 거울처럼 보여준 작품 현재 일본 내에서는 물론 전 세계적으로 열광적인 지지를 받고 있는 일본 현대 문학의 대표 작가 요시모토 바나나와 무라카미 하루키는 자신이 가장 존경하는 일본 작가로 다자이 오사무를 꼽고 있다. 또한 다자이는 ‘무뢰파’로 불리며 현재까지도 일본 데카당스 문학을 대표하는 작가로 평가된다. 다자이에게 있어서의 데카당은 단순한 퇴폐주의가 아니라 패전 후라는 일본의 독특한 시대 상황과 맞물려서 해석해야 할 것이다. 즉 기성세대의 가치관 및 윤리관, 도덕관이 패전과 함께 붕괴되면서, 다자이의 (기성세대의 관점에서 볼 때)타락과 자기 파괴적 언행은 기존 사회에 속한 모든 것을 거부함으로써 철저한 무(無)에서부터 새로이 시작하고자 한 처절한 몸부림이었다고 볼 수 있다. 몇몇 다자이 연구가는 「인간 실격」을 분석하기를, 세상을 합법적 세계에 속하는 남성 세계와 비합법적 세계에 속하는 여성 세계로 나누었을 때 사회의 실세를 형성하고 있는 남성 지배 세계에서 소외된 ‘요조’가 결국은 어느 세계에도 귀속하지 못하고 인간 실격자가 되어 가는 과정을 설득력 있게 증명해 보인 작품이라고 하고 있다. 타산과 체면으로 영위되는 인간 세상과 사회 질서의 허위성, 잔혹성을 「인간 실격」만큼 명확하게 드러낸 작품도 드물 것이다. 어떻게든 사회에 융화하고자 애쓰고 순수한 것, 더럽혀지지 않은 것에 꿈을 의탁하고, 인간에 대한 구애를 시도하던 주인공이 결국 모든 것에 배반당하고 인간 실격자가 되어가는 패배의 기록인 이 작품은 그런 뜻에서 현대 사회에 대한 예리한 고발 문학이라 할 수 있다. 위선적인 인간상을 대표하는 등장인물들인 요조의 보호자 ‘넙치’와 악우(惡友) ‘호리키’가 드러내는 상식적인 인간상의 (적어도 그들은 이 사회에서 당당히 존재 가능하다.) 추악함은, 이 사회의 틀에 젖어 무감각하게 살고 있는 우리에게 자성을 촉구한다.",https://audioclip.naver.com/audiobooks/0D03DC7C10
직지 : 아모르 마네트 1,김진명,"★★★★★ ""들을 수록 재밌네요. 점점 흥미진진해 집니다. 추리소설 좋아하는데 재미있어요!"" ★★★★★ ""팩션소설답게 알지못했던 역사적 지식도 함께 얻을 수 있는 거 같아요!"" 네이버 오디오클립 출간 전 연재 화제작 한국 최고의 이야기꾼 김진명 신간 장편소설 『직지 : 아모르 마네트』 오디오북 전격 출간! 출간할 때마다 화제를 불러 일으키는 한국 최고의 이야기꾼 김진명, 그가 올 여름 새로운 소설 『직지 : 아모르 마네트』를 가지고 돌아왔다! 역사적 사실과 허구의 픽션 사이를 자유롭게 넘나들며 독자들을 사로 잡아왔던 그는, 이번에는 세계 최초의 금속활자본 '직지심경'을 소재 삼아 금속활자의 전파에 대한 진실에 다가서려 한다. 과연 세계최초의 금속활자본 '직지'를 둘러싼 진실은 무엇인가? 구텐베르크의 금속활자는 정말 '직지심경'의 영향을 받은 것일까? 『직지 : 아모르 마네트』 오디오북은 21세기 서울에서 벌어진 미스터리한 살인 사건으로 시작해 조선 세종대, 15세기 유럽 등으로 시공간을 넓혀가면서 김진명 작가 특유의 정교한 추리와 속도감 넘치는 전개가 국내 최고 오디오북 전문 성우들의 연기를 만나 더욱 입체적인 재미를 선사한다. ""두 성우분들의 좋은 연기가 더해지니 제 글이 입체적으로 느껴졌어요. 오디오북으로 들었을 때 소설 속 장면을 이해하는 데 많은 도움이 될 것 같아요."" 한국 최고의 이야기꾼인 김진명의 말처럼 『직지 : 아모르 마네트』 오디오북은 종이책에서는 만날 수 없는 오디오북만의 매력을 온전히 느낄 수 있다.",https://audioclip.naver.com/audiobooks/741B2A3031
자기 앞의 생,에밀 아자르,"하밀 할아버지, 사람은 사랑 없이도 살 수 있나요? 작가는 자기의 실제 나이보다 많은 나이를 살고 있는 열네 살 모모의 눈을 통해 이해하지 못할 세상을 바라본다. 모모의 눈에 비친 세상은 결코 꿈같이 아름다운 세상이 아니다. 아이의 눈으로 바라보기 때문에 세상은 더욱 각박하고 모진 곳이다. 인종적으로 차별받는 아랍인, 아프리카인, 아우슈비츠에 끌려갔다 구사일생으로 살아 돌아온 유태인, 버림받은 창녀의 자식들, 살아가기 위해 웃음을 팔아야 하는 창녀들, 창녀들의 아이를 돌보는 여자, 친구도 가족도 없는 노인, 한 몸에 여성과 남성의 성징을 모두 갖고 있는 성 전환자, 가난한 사람들, 병든 사람들, 살인자…… 모모가 사랑하는 사람들은 모두 이렇게 세상의 중심으로부터 이탈한, 사회로부터 소외되고, 그들 자신도 스스로를 소외시켜 밑바닥 인생을 살아가는 사람들이다. 버림받은 사람들, 소진되어가는 삶에 괴로워하고 슬퍼하는 사람들…… 하지만 그들은 누구보다도 사랑에 가득 차서 살아간다. 그를 맡아 키워주는 창녀 출신의 유태인 로자 아줌마를 비롯해 이 소외된 사람들은 모두 소년을 일깨우는 스승들이다. 소년은 이들을 통해 슬픔과 절망을 딛고 살아가는 동시에, 삶을 껴안고 그 안의 상처까지 보듬을 수 있는 법을 배운다.",https://audioclip.naver.com/audiobooks/1BC057C667
애크로이드 살인 사건,애거서 크리스티,"'추리 소설의 여왕' 애거서 크리스티, 그녀 생애 최고의 걸작들을 오디오북으로 만나다! 보이지 않는 범인 논쟁을 불러일으켰던 화제의 걸작! 작고 평화로운 마을에서 한 여성이 심장마비로 숨지는 사건이 발생한다. 그녀의 죽음을 둘러싼 추문이 돌기 시작하고, 그녀의 약혼자이자 마을의 지주인 로저 애크로이드에게 그녀가 죽기 직전 보낸 편지가 배달된다. '회색 뇌세포' 에르퀼 푸아로는 주변 인물들을 차례차례 용의선상에 올리며 수사를 시작하는데……. 출간 당시 너무나 획기적인 결말로 인해 애거서 크리스티의 작품 중 가장 많은 논란을 불러일으키며 추리 소설계에 거대한 충격을 가져온 작품. 의외의 범인과 결말로 독자를 속였다는 비난이 있었으나, 후에 작가 자신이 선정한 베스트 10에 선정되는 등 애거서 크리스티의 대표작으로 자리매김한 작품이다. ""너무나 잘 쓰여진 탐정물. 모든 것이 혼란스럽기만 한데, 위대한 탐정 에르퀼 푸아로만은 미스터리를 풀어낸다."" ―《타임스》 ★애거서 크리스티 드라마형 오디오북 베스트 12종 모아 듣기★ - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [이준영 SF장편소설] 파라미터O [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운 ― THE MURDER OF ROGER ACKROYD Copyright © 1926 Agatha Christie Limited. All rights reserved. AGATHA CHRISTIE, POIROT and the Agatha Christie Signature are registered trademarks of Agatha Christie Limited in the UK and elsewhere. All rights reserved. Korean Translation Copyright © Minumin 2019 Korean audiobook edition is published by arrangement with Agatha Christie Limited through Shinwon Agency. 이 오디오북의 한국어판 저작권은 신원 에이전시를 통해 Agatha Christie Limited와 독점 계약한 ㈜민음인에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다.",https://audioclip.naver.com/audiobooks/5F3AF0BC69
스타일스 저택의 괴사건,애거서 크리스티,"'추리 소설의 여왕' 애거서 크리스티, 그녀 생애 최고의 걸작들을 오디오북으로 만나다! 애거서 크리스티의 첫 번째 소설이자, 전 세계에 명탐정 푸아로의 이름을 알린 작품! 평화로운 영국의 시골마을에 있는 대저택을 배경으로 벌어진 끔찍한 살인사건, 애거서 크리스티의 데뷔작이자 에르퀼 푸아로를 이 세상에 탄생시킨 기념비적인 작품. 아서 헤이스팅스 대위는 휴가를 받은 참에 어린 시절 알고 지내던 존 캐번디시를 만나 그의 새어머니 소유인 스타일스 저택에 초대를 받는다. 가족들을 쥐락펴락 하고 있는 정력적인 노부인 캐번디시 부인이 스무 살이나 어린 남자와 결혼하여 잉글소프 부인이 되면서 스타일스 저택의 가족들 간에는 기묘한 기류가 흐르고 있다. 그리고 재혼에 반대하던 잉글소프 부인의 말벗 에벌린이 부인과의 말다툼 후 저택을 떠나고 나자 저택에는 어딘지 모를 사악함이 감돈다. 그리고 며칠 후, 한밤중에 잠을 자던 잉글소프 부인이 격렬한 경련 후에 갑작스럽게 사망한다. 사인은 스트리크닌에 의한 중독사. 단순한 심장마비인 줄 알았던 부인이 독살로 살해당했다는 주장이 제기되면서 저택에는 음산한 기운이 감돌기 시작하는데……. 헤이스팅스 대위는 전부터 안면이 있던 푸아로에게 사건을 의뢰하는 한편, 사건의 경위를 기록해 나가기 시작한다. ""애거서 크리스티는 베테랑의 교활함들을 모두 내버렸다. 책의 마지막 장에서 증거의 연결 고리가 드러날 때까지 기다릴 수밖에 없다. 『스타일스 저택의 괴사건』에 대한 푸아로의 마지막 대사를 읽을 때까지, 당신은 해답을 추측하는 일을 멈출 수도, 이 최고로 흥미진진한 책을 내려놓을 수도 없을 것이다."" ―《뉴욕 타임스》 ★애거서 크리스티 드라마형 오디오북 베스트 12종 모아 듣기★ - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [이준영 SF장편소설] 파라미터O [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운 ― THE MYSTERIOUS AFFAIR AT STYLES Copyright © 1920 Agatha Christie Limited. All rights reserved. AGATHA CHRISTIE, POIROT and the Agatha Christie Signature are registered trademarks of Agatha Christie Limited in the UK and elsewhere. All rights reserved. Korean Translation Copyright © Minumin 2019 Korean audiobook edition is published by arrangement with Agatha Christie Limited through Shinwon Agency. 이 오디오북의 한국어판 저작권은 신원 에이전시를 통해 Agatha Christie Limited와 독점 계약한 ㈜민음인에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다.",https://audioclip.naver.com/audiobooks/808B6C7BC4
달러구트 꿈 백화점 2 (단골손님을 찾습니다),이미예,"“정말 고마워. 나한테 정말 필요한 꿈이었어.” “이게 네가 찾던 꿈이길 바라.” 어느덧 페니가 달러구트 꿈 백화점에서 일한 지도 1년이 넘었다. 재고가 부족한 꿈을 관리하고, 꿈값 창고에서 감정으로 가득 찬 병을 옮기고, 프런트의 수많은 눈꺼풀 저울을 관리하는 일에 능숙해진 페니는 자신감이 넘친다. 게다가 꿈 산업 종사자로 인정을 받아야만 드나들 수 있는 ‘컴퍼니 구역’에도 가게 된 페니는 기쁜 마음을 감출 수 없다. 하지만 그곳에서 페니를 기다리고 있는 건, 꿈에 대한 불만을 털어놓는 사람들로 가득한 ‘민원관리국’이었다. 설상가상 달러구트는 아주 심각한 민원 하나를 통째로 페니에게 맡기는데… “왜 저에게서 꿈까지 뺏어가려고 하시나요?”라는 알쏭달쏭한 민원을 남기고 발길을 끊어버린 792번 단골손님. 페니는 과연 달러구트 꿈 백화점의 오랜 단골손님을 되찾을 수 있을까? 1년 내내 베스트셀러 1위, 독자들이 뽑은 ‘최고의 힐링 판타지’ 잠들어야만 입장 가능한 ‘달러구트 꿈 백화점’으로 초대합니다. 독자들은 이 책을 ‘어른들을 위한 힐링 판타지’라고 칭한다. 한 독자는 “가볍고 흥미롭게 읽기 시작하였으나 마지막엔 눈가를 훔치다가 미소 띠며 마지막 장을 넘겼다.”라고 하고, 또 다른 독자는 “읽는 시간이 너무나도 짧게 느껴질 만큼 재미있었고 중간에 감동하여서 울기도 했네요. 어릴 때 호그와트 입학 허가서가 도착하기를 기다렸듯이, 매일 밤, 잠들 때마다 달러구트의 꿈 백화점을 방문할 수 있기를”이라며 후기를 남겼다. 《달러구트 꿈 백화점 2 : 단골손님을 찾습니다》는 독자들에게 더 깊어진 감동과 공감을 자아내며 다시 한번 ‘좋은 꿈’을 선사할 것이다.",https://audioclip.naver.com/audiobooks/AC0829FE4A
